0,2,3,0.0304917779743084
N,T,S,0.0541513733319668
S,RET,-,0.0240391610585834
T,I,S,0.0235330734573501
I,S,S,0.0380830919928084
S,S,A,0.0320100407780084
S,A,G,0.015182628037
G,E,SPACE,0.0649057348581752
T,I,N,0.0465600593134668
I,N,U,0.0135378433329917
SPACE,P,A,0.2431750923926177
A,R,SPACE,0.0728766145776003
R,SPACE,R,0.0261900333638251
N,F,O,0.0247982924604334
O,R,C,0.0130317557317583
N,T,RET,0.0127787119311417
F,O,N,0.0246717705601251
O,N,D,0.0460539717122335
R,A,I,0.0929935967266254
SPACE,D,U,0.0891979397173753
D,U,SPACE,0.0776844467893169
U,SPACE,L,0.0256839457625917
L,A,N,0.0436500556063751
A,N,G,0.0508618039239502
G,A,G,0.01138697102775
SPACE,N,A,0.0134113214326833
N,E,RET,0.0101217520246667
E,RET,-,0.0288469932703001
I,E,L,0.0212556792518
L,E,RET,0.0108808834265167
RET,RET,D,0.0137908871336083
D,E,A,0.0207495916505667
N,O,N,0.0217617668530334
S,T,A,0.0750274868828419
O,N,A,0.0164478470400834
N,A,R,0.0134113214326833
A,R,I,0.0203700259496417
R,I,T,0.0460539717122335
O,P,E,0.0106278396259
SPACE,M,U,0.0207495916505667
U,L,T,0.0266961209650584
E,I,N,0.0150561061366917
M,E,S,0.0503557163227168
C,A,L,0.0350465663854084
A,L,E,0.0442826651079168
D,I,A,0.0103747958252833
R,O,U,0.0551635485344335
M,A,L,0.0230269858561167
A,SPACE,R,0.0337813473823251
E,M,A,0.0392217890955835
R,Q,U,0.01138697102775
A,B,L,0.0370709167903418
E,SPACE,U,0.0597183369455335
N,I,T,0.02201481065365
T,É,SPACE,0.0555431142353585
É,SPACE,D,0.0279613399681417
M,P,O,0.0339078692826334
P,O,S,0.0382096138931168
S,A,N,0.0365648291891084
U,SPACE,M,0.0345404787841751
V,A,N,0.0320100407780084
T,SPACE,(,0.0106278396259
N,",",SPACE,0.0451683184100751
",",SPACE,A,0.0721174831757503
C,O,D,0.0156887156382334
O,D,E,0.0315039531767751
E,SPACE,G,0.0364383072888001
SPACE,G,É,0.0149295842363833
G,É,N,0.0122726243299083
T,I,Q,0.0265695990647501
I,Q,U,0.0912222901223087
),",",SPACE,0.019357850747175
N,O,U,0.0268226428653667
O,U,S,0.0752805306834586
S,SPACE,N,0.0260635114635167
S,O,M,0.0266961209650584
T,SPACE,P,0.1139962321778088
P,A,S,0.1224731994984671
A,S,SPACE,0.1260158127071005
N,C,O,0.0254309019619751
C,O,R,0.0416257052014418
SPACE,A,S,0.0420052709023668
A,S,S,0.0770518372877753
E,Z,SPACE,0.0241656829588917
T,O,U,0.0878061988139837
U,T,E,0.0428909242045251
SPACE,D,I,0.079961840994867
D,I,V,0.0116400148283667
N,O,M,0.0199904602487167
U,E,S,0.0482048440174752
T,A,N,0.0559226799362835
SPACE,N,I,0.0120195805292917
I,SPACE,D,0.0241656829588917
M,O,D,0.0318835188777001
SPACE,D,SQT,0.1113392722713338
O,L,U,0.0130317557317583
L,U,T,0.0127787119311417
U,T,I,0.0533922419301168
É,R,A,0.0118930586289833
N,T,.,0.020116982149025
T,.,SPACE,0.0417522271017501
.,SPACE,E,0.0210026354511834
S,T,I,0.0498496287214835
I,T,U,0.0272022085662917
T,U,T,0.0149295842363833
N,S,",",0.01594175943885
",",SPACE,I,0.0268226428653667
SPACE,D,É,0.0828718447019586
P,O,N,0.0499761506217918
O,N,C,0.0575674646402919
T,U,E,0.0142969747348417
U,E,L,0.0431439680051418
",",SPACE,L,0.0354261320863334
O,M,E,0.0447887527091501
S,SPACE,É,0.0135378433329917
L,U,E,0.014803062336075
T,U,D,0.0221413325539584
U,D,E,0.0232800296567334
SPACE,M,É,0.0149295842363833
A,N,I,0.0301122122733834
N,I,S,0.0105013177255917
SPACE,T,E,0.1043805677543754
E,L,S,0.01746002224255
L,S,SPACE,0.0754070525837669
S,SPACE,Q,0.0654118224594086
A,R,R,0.0203700259496417
R,R,A,0.01138697102775
N,G,E,0.0483313659177835
T,S,",",0.0164478470400834
R,T,S,0.0112604491274417
SPACE,H,O,0.02201481065365
H,O,R,0.0115134929280583
",",SPACE,P,0.0368178729897251
O,N,",",0.0275817742672167
",",SPACE,D,0.0351730882857168
P,L,I,0.0299856903730751
L,I,C,0.0158152375385417
I,C,A,0.0440296213073001
C,A,T,0.0292265589712251
S,I,M,0.01594175943885
I,M,P,0.0449152746094585
",",SPACE,S,0.0560492018365919
T,A,L,0.0272022085662917
S,SPACE,O,0.0697135670698919
SPACE,M,E,̂,0.0191048069465584
M,E,̂,M,0.020876113550875
E,̂,M,E,0.0212556792518
T,I,E,0.0277082961675251
I,E,R,0.0637670377554002
R,S,.,0.0108808834265167
.,SPACE,P,0.0268226428653667
M,P,A,0.01594175943885
SPACE,I,L,0.0684483480668086
I,L,SPACE,0.1071640495611587
L,SPACE,E,0.0241656829588917
O,S,S,0.0225208982548834
S,I,B,0.0130317557317583
D,SQT,I,0.0135378433329917
SQT,I,N,0.0318835188777001
F,É,R,0.0258104676629001
É,R,E,0.0488374535190168
R,E,R,0.0430174461048335
R,SPACE,D,0.1176653672867505
R,I,O,0.0161948032394667
